country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,2470000,2610000,2790000,2990000,3210000,3440000,3700000,3970000,4270000,4570000,4880000,5180000,5480000,5790000,6210000,6890000,7670000,8540000,9530000,10600000,11800000,12900000,13600000,14300000,15100000,15900000,16700000,17600000,18500000,19500000,20400000,21400000,22300000,23100000,24000000,25000000,26000000,27000000,28000000,29000000,30100000,31300000,32800000,34300000,35800000,37300000,38800000,40300000,41800000,43400000,45000000,46600000,48300000,50000000,51800000,53600000,55400000,57300000,59100000
Barbados,84900,85400,85900,86400,87000,87400,87900,88200,88600,89100,89700,90800,91900,93200,94400,95600,96900,98000,99200,100000,101000,101000,101000,100000,99700,99300,98900,98500,98200,97900,97500,96900,96300,95700,95200,94600,94000,93500,92900,92400,91800,91600,91400,91200,90900,90700,90600,90400,90300,90100,89900,89700,89500,89400,89200,89200,89100,89200,89300
Belarus,2660000,2770000,2900000,3020000,3150000,3280000,3420000,3550000,3690000,3830000,3980000,4130000,4290000,4450000,4600000,4740000,4880000,5020000,5170000,5310000,5450000,5590000,5730000,5880000,6030000,6170000,6310000,6460000,6580000,6670000,6720000,6770000,6820000,6880000,6910000,6920000,6940000,6950000,6950000,6970000,6980000,7000000,7000000,7000000,6990000,6990000,6990000,7010000,7020000,7050000,7090000,7120000,7160000,7210000,7270000,7320000,7380000,7420000,7450000
Belgium,8460000,8500000,8550000,8620000,8720000,8810000,8890000,8950000,9000000,9040000,9060000,9090000,9140000,9180000,9220000,9260000,9290000,9320000,9350000,9380000,9400000,9420000,9430000,9440000,9440000,9460000,9470000,9490000,9530000,9570000,9610000,9650000,9700000,9740000,9780000,9810000,9840000,9870000,9900000,9930000,9960000,10000000,10000000,10100000,10100000,10200000,10300000,10400000,10400000,10500000,10600000,10800000,10900000,10900000,11000000,11000000,11100000,11100000,11200000
Belize,49700,50900,52000,53200,54400,55700,57000,58400,59800,61100,62300,63400,64400,65300,66100,66900,67600,68300,69100,70000,71200,72600,74200,76000,77900,79900,81800,83700,85700,87400,89000,90300,91400,92600,94100,96100,98700,102000,105000,109000,112000,116000,119000,122000,125000,129000,132000,135000,139000,142000,146000,149000,153000,157000,160000,164000,168000,171000,175000
Benin,226000,243000,262000,283000,305000,330000,356000,385000,416000,450000,486000,525000,568000,613000,662000,715000,772000,834000,900000,965000,1020000,1070000,1130000,1190000,1250000,1320000,1390000,1460000,1540000,1630000,1720000,1820000,1910000,2000000,2080000,2170000,2260000,2350000,2440000,2530000,2630000,2740000,2850000,2970000,3100000,3240000,3370000,3510000,3660000,3810000,3960000,4130000,4290000,4470000,4650000,4830000,5030000,5230000,5430000
Bhutan,8030,8680,9380,10100,11000,11900,12900,14100,15300,16600,18100,19700,21400,23200,25300,27400,29800,32400,35100,38100,41200,44500,48000,51700,55700,60100,65000,70400,76100,81700,87000,91700,96000,100000,105000,110000,116000,124000,132000,141000,150000,160000,170000,180000,191000,201000,208000,216000,223000,231000,239000,247000,255000,264000,273000,282000,290000,299000,309000
Bolivia,1340000,1380000,1420000,1460000,1500000,1550000,1590000,1640000,1680000,1730000,1780000,1840000,1890000,1950000,2010000,2070000,2130000,2220000,2320000,2430000,2540000,2650000,2760000,2880000,3000000,3120000,3250000,3390000,3520000,3670000,3820000,3970000,4120000,4250000,4380000,4510000,4640000,4780000,4920000,5060000,5200000,5350000,5490000,5630000,5780000,5920000,6070000,6220000,6370000,6520000,6680000,6830000,6990000,7140000,7290000,7430000,7580000,7730000,7880000
Bosnia and Herzegovina,614000,647000,685000,725000,766000,807000,848000,890000,933000,977000,1020000,1070000,1110000,1160000,1200000,1250000,1290000,1340000,1390000,1430000,1490000,1530000,1560000,1590000,1620000,1650000,1680000,1710000,1740000,1750000,1750000,1730000,1690000,1640000,1590000,1560000,1550000,1550000,1560000,1570000,1590000,1600000,1620000,1630000,1640000,1660000,1670000,1680000,1690000,1690000,1690000,1680000,1670000,1650000,1630000,1620000,1610000,1600000,1600000
Botswana,15400,15900,16400,17000,18200,21500,25400,29900,35300,41600,49200,58200,64700,71600,79400,88100,97800,109000,121000,134000,148000,163000,188000,216000,249000,286000,328000,374000,426000,481000,540000,601000,633000,662000,690000,720000,750000,781000,812000,843000,875000,905000,930000,954000,980000,1010000,1040000,1090000,1140000,1190000,1240000,1290000,1320000,1350000,1390000,1420000,1470000,1510000,1570000
Brazil,33300000,35000000,36800000,38700000,40600000,42600000,44600000,46700000,48800000,51000000,53200000,55500000,57800000,60200000,62600000,65200000,67800000,70500000,73200000,76100000,79000000,82000000,85100000,88200000,91400000,94500000,97600000,101000000,104000000,107000000,110000000,113000000,116000000,119000000,123000000,126000000,129000000,132000000,135000000,139000000,142000000,145000000,147000000,149000000,152000000,154000000,156000000,159000000,161000000,163000000,165000000,167000000,169000000,171000000,173000000,175000000,177000000,179000000,181000000
Brunei,35500,38700,42100,45800,49700,53900,58400,63300,68500,74000,79900,86000,90500,94900,99300,104000,108000,113000,117000,122000,126000,130000,134000,139000,143000,147000,152000,157000,162000,167000,172000,177000,184000,190000,197000,204000,211000,217000,224000,231000,237000,244000,250000,256000,262000,267000,272000,277000,282000,286000,291000,296000,302000,307000,313000,318000,323000,328000,333000
Bulgaria,2920000,3080000,3240000,3410000,3580000,3750000,3900000,4030000,4170000,4300000,4440000,4560000,4670000,4780000,4910000,5020000,5130000,5230000,5320000,5400000,5500000,5570000,5630000,5690000,5740000,5790000,5820000,5860000,5900000,5860000,5790000,5760000,5730000,5700000,5700000,5700000,5690000,5670000,5650000,5640000,5630000,5540000,5450000,5430000,5420000,5410000,5390000,5380000,5370000,5360000,5350000,5340000,5330000,5330000,5320000,5310000,5300000,5280000,5270000
Burkina Faso,227000,235000,243000,251000,260000,269000,279000,289000,300000,311000,323000,335000,348000,362000,376000,391000,418000,458000,501000,548000,601000,659000,722000,793000,869000,953000,1020000,1060000,1110000,1160000,1220000,1270000,1330000,1390000,1460000,1530000,1600000,1690000,1810000,1940000,2070000,2210000,2370000,2530000,2700000,2890000,3090000,3280000,3460000,3650000,3840000,4050000,4270000,4500000,4740000,4990000,5250000,5520000,5800000
Burundi,58100,60300,62600,65000,67600,71000,75900,81400,87100,93100,99000,105000,111000,117000,123000,130000,139000,148000,158000,169000,180000,192000,205000,218000,233000,248000,265000,283000,301000,321000,341000,359000,377000,396000,414000,432000,449000,466000,484000,504000,526000,552000,582000,615000,652000,690000,732000,776000,822000,871000,923000,978000,1030000,1100000,1160000,1230000,1300000,1380000,1460000
Cambodia,589000,605000,623000,649000,675000,700000,724000,809000,901000,1000000,1120000,1340000,1590000,1880000,2190000,337000,357000,373000,388000,406000,663000,860000,902000,955000,1010000,1070000,1130000,1190000,1260000,1320000,1400000,1480000,1560000,1650000,1750000,1840000,1940000,2040000,2130000,2200000,2260000,2320000,2380000,2430000,2490000,2550000,2600000,2660000,2720000,2810000,2900000,3000000,3110000,3220000,3330000,3440000,3560000,3680000,3800000
Cameroon,722000,766000,813000,863000,917000,975000,1040000,1100000,1170000,1240000,1320000,1440000,1570000,1720000,1870000,2030000,2200000,2320000,2460000,2600000,2750000,2910000,3080000,3260000,3450000,3650000,3860000,4070000,4270000,4470000,4670000,4880000,5100000,5330000,5560000,5790000,6030000,6280000,6530000,6790000,7070000,7350000,7650000,7950000,8270000,8610000,8960000,9320000,9690000,10100000,10500000,10900000,11300000,11800000,12200000,12700000,13200000,13700000,14200000
Canada,12400000,12700000,13100000,13500000,13900000,14300000,14800000,15100000,15500000,15800000,16100000,16700000,16900000,17100000,17300000,17500000,17700000,17900000,18100000,18300000,18500000,18800000,19100000,19300000,19500000,19700000,20000000,20200000,20500000,20900000,21200000,21500000,21800000,22100000,22500000,22800000,23100000,23400000,23700000,24000000,24400000,24800000,25100000,25300000,25600000,25800000,26100000,26400000,26800000,27200000,27500000,27800000,28200000,28500000,28800000,29000000,29400000,29700000,30200000
Cape Verde,33700,34800,36200,37800,39700,41600,43800,46200,48600,50700,52500,54000,55100,56000,56800,57900,59200,60700,62400,64400,66800,72200,78100,84500,91200,98200,107000,117000,127000,137000,149000,156000,164000,172000,180000,188000,197000,205000,213000,221000,229000,237000,244000,252000,260000,267000,275000,282000,289000,297000,305000,311000,317000,324000,331000,337000,344000,351000,357000
Central African Republic,302000,317000,332000,349000,367000,386000,406000,427000,450000,474000,498000,522000,546000,571000,597000,626000,651000,671000,694000,718000,745000,774000,806000,840000,872000,903000,932000,958000,985000,1010000,1030000,1060000,1090000,1130000,1160000,1200000,1230000,1270000,1300000,1340000,1370000,1400000,1440000,1470000,1500000,1540000,1570000,1610000,1650000,1680000,1710000,1730000,1750000,1760000,1780000,1810000,1840000,1880000,1930000
Chad,201000,213000,226000,240000,256000,278000,302000,329000,357000,388000,421000,459000,500000,542000,588000,636000,687000,741000,798000,822000,848000,876000,905000,936000,971000,1010000,1050000,1090000,1140000,1190000,1240000,1290000,1350000,1410000,1450000,1510000,1560000,1620000,1680000,1740000,1810000,1880000,1960000,2040000,2120000,2200000,2280000,2370000,2450000,2540000,2630000,2730000,2830000,2940000,3060000,3180000,3300000,3430000,3570000
