country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,1420000,1510000,1600000,1690000,1790000,1900000,2010000,2130000,2230000,2330000,2440000,2560000,2690000,2820000,2960000,3080000,3190000,3300000,3410000,3520000,3660000,3820000,4000000,4200000,4420000,4660000,4900000,5160000,5430000,5730000,6040000,6380000,6740000,7130000,7520000,7890000,8250000,8610000,8980000,9360000,9760000,10200000,10600000,11000000,11500000,12000000,12500000,13000000,13700000,14400000,15200000,16000000,16800000,17700000,18600000,19600000,20600000,21600000,22700000
Fiji,117000,123000,130000,137000,144000,151000,158000,164000,170000,175000,181000,187000,193000,199000,205000,212000,218000,223000,228000,234000,240000,247000,254000,262000,269000,274000,278000,284000,290000,296000,303000,312000,321000,332000,342000,353000,363000,370000,377000,383000,389000,393000,397000,401000,405000,410000,416000,424000,432000,441000,449000,455000,460000,465000,470000,475000,482000,489000,497000
Finland,2450000,2510000,2570000,2620000,2680000,2720000,2770000,2820000,2870000,2910000,2930000,2980000,3030000,3090000,3140000,3200000,3240000,3290000,3340000,3380000,3430000,3480000,3540000,3600000,3660000,3720000,3770000,3810000,3860000,3910000,3960000,4000000,4040000,4070000,4110000,4140000,4160000,4190000,4210000,4230000,4250000,4270000,4290000,4310000,4330000,4350000,4370000,4400000,4430000,4450000,4490000,4540000,4590000,4630000,4650000,4670000,4690000,4700000,4710000
France,28800000,29600000,30400000,31400000,32400000,33400000,34300000,35200000,35900000,36400000,36900000,37400000,37900000,38400000,38900000,39300000,39600000,39800000,40000000,40200000,40400000,40700000,40900000,41200000,41500000,41700000,42000000,42300000,42600000,42800000,43100000,43500000,43800000,44100000,44300000,44600000,44900000,45100000,45400000,45700000,46200000,46700000,47200000,47700000,48200000,48700000,49200000,49700000,50100000,50500000,51000000,51400000,51800000,52200000,52600000,53000000,53300000,53600000,53900000
Gabon,87200,92700,100000,108000,117000,127000,137000,149000,161000,175000,189000,205000,222000,239000,258000,278000,300000,322000,346000,371000,397000,424000,446000,468000,492000,516000,542000,568000,597000,626000,657000,688000,719000,752000,782000,812000,842000,873000,905000,936000,969000,1000000,1040000,1070000,1110000,1150000,1190000,1230000,1280000,1330000,1390000,1450000,1520000,1580000,1650000,1720000,1780000,1840000,1890000
Gambia,44300,45900,47600,49900,54200,58900,64100,69900,76200,83100,90500,98600,107000,116000,124000,132000,141000,150000,160000,170000,181000,192000,204000,217000,232000,250000,269000,292000,316000,341000,366000,391000,416000,441000,465000,489000,515000,542000,570000,600000,631000,663000,698000,733000,768000,803000,840000,877000,916000,956000,998000,1040000,1090000,1140000,1180000,1240000,1290000,1340000,1400000
Georgia,1570000,1610000,1660000,1700000,1740000,1790000,1830000,1860000,1900000,1940000,1980000,2020000,2060000,2100000,2130000,2170000,2210000,2240000,2280000,2310000,2350000,2380000,2420000,2450000,2490000,2530000,2570000,2600000,2640000,2660000,2640000,2650000,2660000,2670000,2620000,2510000,2410000,2320000,2250000,2200000,2150000,2100000,2090000,2090000,2090000,2090000,2100000,2100000,2110000,2100000,2100000,2100000,2100000,2110000,2120000,2140000,2160000,2170000,2180000
Germany,52000000,52600000,53100000,53700000,54100000,54700000,55200000,55500000,55800000,56300000,56500000,56600000,57000000,57200000,57300000,57100000,56900000,56800000,56800000,56900000,57000000,57200000,57300000,57100000,56800000,56500000,56400000,56700000,57000000,57500000,58100000,58600000,59100000,59600000,60000000,60400000,60700000,61000000,61200000,61400000,61600000,61900000,62200000,62400000,62500000,62700000,62800000,62800000,62900000,62900000,62900000,61900000,62100000,62200000,62500000,63100000,63600000,63900000,64100000
Ghana,1540000,1630000,1720000,1820000,1920000,2020000,2120000,2220000,2320000,2430000,2530000,2620000,2710000,2810000,2910000,3000000,3090000,3170000,3250000,3340000,3450000,3560000,3690000,3830000,4000000,4210000,4420000,4650000,4880000,5130000,5380000,5650000,5930000,6220000,6520000,6830000,7140000,7460000,7790000,8120000,8470000,8810000,9170000,9530000,9920000,10300000,10700000,11200000,11600000,12100000,12600000,13000000,13500000,14000000,14500000,15100000,15600000,16100000,16700000
Greece,4660000,4740000,4840000,4940000,5030000,5130000,5240000,5360000,5470000,5560000,5650000,5740000,5820000,5890000,5960000,6060000,6200000,6320000,6450000,6580000,6690000,6790000,6850000,6910000,6960000,7010000,7050000,7090000,7140000,7190000,7290000,7390000,7460000,7520000,7570000,7620000,7660000,7710000,7770000,7810000,7860000,7920000,7990000,8050000,8110000,8180000,8250000,8310000,8370000,8430000,8480000,8510000,8510000,8480000,8460000,8450000,8450000,8470000,8480000
Grenada,27300,27900,28400,28900,29300,29600,29900,30100,30200,30400,30400,30400,30400,30400,30300,30100,29800,29500,29200,29100,29300,29900,30800,31800,32600,33200,33300,33100,32700,32400,32200,32300,32800,33400,34000,34600,35100,35500,35900,36300,36700,37100,37200,37300,37500,37600,37700,37700,37800,37900,38100,38300,38500,38800,39100,39500,39800,40100,40400
Guatemala,1310000,1380000,1450000,1520000,1590000,1660000,1720000,1790000,1850000,1930000,2000000,2070000,2150000,2230000,2310000,2390000,2470000,2550000,2640000,2730000,2820000,2920000,3010000,3120000,3220000,3320000,3430000,3540000,3650000,3770000,3890000,4010000,4140000,4270000,4410000,4540000,4680000,4830000,4970000,5120000,5280000,5450000,5620000,5790000,5970000,6140000,6320000,6510000,6700000,6890000,7080000,7280000,7480000,7690000,7900000,8120000,8340000,8570000,8810000
Guinea,366000,388000,412000,438000,465000,493000,524000,556000,591000,626000,664000,703000,743000,786000,830000,876000,925000,976000,1030000,1090000,1150000,1220000,1290000,1350000,1400000,1460000,1510000,1580000,1640000,1710000,1780000,1850000,1920000,1990000,2070000,2140000,2220000,2300000,2380000,2460000,2540000,2620000,2700000,2770000,2850000,2940000,3030000,3120000,3220000,3330000,3430000,3540000,3650000,3760000,3880000,4020000,4160000,4320000,4490000
Guinea-Bissau,83800,85600,87400,89200,91100,93200,95600,98100,101000,104000,107000,110000,113000,117000,120000,122000,124000,126000,127000,130000,139000,150000,162000,176000,191000,207000,223000,241000,260000,280000,301000,323000,339000,351000,363000,374000,386000,398000,410000,422000,435000,449000,464000,480000,496000,513000,531000,550000,569000,589000,611000,633000,657000,681000,706000,732000,758000,785000,813000
Guyana,166000,171000,176000,181000,186000,190000,194000,198000,201000,204000,207000,211000,214000,217000,220000,224000,227000,230000,233000,236000,238000,238000,237000,235000,234000,231000,229000,226000,223000,221000,220000,220000,220000,221000,222000,222000,221000,220000,218000,216000,214000,213000,212000,211000,209000,208000,206000,204000,202000,201000,200000,199000,199000,200000,202000,203000,204000,206000,207000
Haiti,603000,630000,658000,687000,717000,749000,781000,816000,851000,887000,924000,962000,983000,1000000,1020000,1040000,1060000,1080000,1110000,1130000,1160000,1190000,1220000,1290000,1380000,1470000,1570000,1670000,1780000,1890000,2010000,2130000,2250000,2340000,2430000,2520000,2620000,2710000,2810000,2910000,3010000,3210000,3410000,3620000,3770000,3920000,4070000,4230000,4390000,4560000,4730000,4900000,5070000,5250000,5430000,5610000,5790000,5970000,6150000
Honduras,464000,489000,515000,543000,572000,603000,636000,670000,707000,745000,785000,827000,872000,918000,966000,1010000,1060000,1110000,1170000,1220000,1280000,1340000,1410000,1470000,1540000,1620000,1690000,1770000,1850000,1920000,2000000,2090000,2170000,2260000,2360000,2450000,2550000,2660000,2760000,2880000,2990000,3100000,3230000,3360000,3490000,3620000,3760000,3900000,4040000,4180000,4320000,4460000,4600000,4740000,4880000,5030000,5170000,5320000,5470000
Hungary,5580000,5650000,5710000,5770000,5830000,5890000,5950000,6010000,6080000,6150000,6210000,6280000,6340000,6400000,6480000,6560000,6640000,6720000,6780000,6840000,6880000,6900000,6910000,6920000,6930000,6930000,6940000,6950000,6950000,6900000,6830000,6820000,6800000,6780000,6760000,6740000,6710000,6680000,6660000,6620000,6590000,6590000,6610000,6630000,6660000,6690000,6740000,6780000,6820000,6860000,6890000,6920000,6910000,6920000,6930000,6940000,6950000,6960000,6970000
Iceland,141000,145000,148000,152000,155000,159000,163000,166000,169000,172000,174000,176000,179000,183000,186000,189000,192000,194000,196000,199000,201000,204000,208000,211000,214000,216000,218000,221000,226000,229000,231000,234000,238000,241000,243000,245000,247000,249000,252000,256000,260000,264000,266000,269000,271000,276000,283000,291000,296000,298000,298000,299000,300000,303000,307000,310000,314000,322000,331000
India,80800000,82900000,85500000,88100000,90900000,93800000,96700000,99800000,103000000,106000000,110000000,114000000,118000000,123000000,128000000,133000000,138000000,144000000,149000000,155000000,161000000,168000000,173000000,179000000,185000000,191000000,197000000,203000000,210000000,216000000,223000000,230000000,236000000,243000000,250000000,256000000,263000000,271000000,278000000,285000000,292000000,300000000,309000000,318000000,326000000,336000000,345000000,354000000,363000000,372000000,382000000,391000000,400000000,410000000,420000000,429000000,439000000,450000000,460000000
Indonesia,12800000,13400000,13900000,14500000,15200000,15800000,16500000,17200000,18000000,18800000,19600000,20400000,21500000,22700000,23900000,25200000,26600000,28000000,29500000,31000000,32600000,34400000,36500000,38600000,40800000,43000000,45400000,47800000,50300000,52800000,55500000,58400000,61400000,64500000,67700000,71000000,74400000,77900000,81500000,85100000,88800000,91700000,94700000,97700000,101000000,104000000,107000000,110000000,114000000,117000000,121000000,124000000,127000000,131000000,134000000,138000000,141000000,145000000,148000000
Iran,7390000,7730000,8090000,8460000,8850000,9250000,9670000,10100000,10700000,11200000,11800000,12300000,12900000,13600000,14300000,15000000,15700000,16500000,17300000,18200000,19200000,20300000,21400000,22700000,23900000,25300000,26700000,28000000,29300000,30600000,31800000,32800000,33900000,34900000,36000000,37000000,38100000,39100000,40000000,41000000,42000000,43000000,44100000,45100000,46100000,47100000,48100000,49100000,50100000,51100000,52100000,53100000,54200000,55300000,56400000,57600000,58800000,60000000,61300000
Iraq,3130000,3320000,3530000,3750000,3990000,4240000,4490000,4740000,5000000,5280000,5570000,5870000,6180000,6500000,6830000,7170000,7530000,7900000,8250000,8600000,8950000,9290000,9650000,10000000,10300000,10700000,11000000,11400000,11600000,11900000,12100000,12400000,12800000,13100000,13500000,13900000,14300000,14700000,15100000,15600000,16100000,16600000,17100000,17600000,18100000,18500000,18900000,19200000,19600000,20000000,20600000,21300000,22100000,23100000,24000000,24900000,25700000,26400000,27100000
Ireland,1280000,1280000,1290000,1310000,1320000,1330000,1350000,1390000,1430000,1470000,1520000,1560000,1600000,1630000,1670000,1710000,1750000,1780000,1820000,1860000,1890000,1920000,1940000,1960000,1980000,1990000,2000000,2000000,2000000,1990000,2000000,2020000,2040000,2060000,2070000,2090000,2120000,2150000,2180000,2210000,2250000,2300000,2350000,2390000,2450000,2520000,2600000,2680000,2740000,2780000,2810000,2830000,2850000,2870000,2900000,2940000,2980000,3030000,3070000
Israel,1620000,1700000,1810000,1890000,1990000,2070000,2150000,2260000,2330000,2400000,2500000,2600000,2690000,2810000,2910000,2990000,3080000,3160000,3240000,3340000,3440000,3520000,3600000,3680000,3730000,3800000,3870000,3930000,4000000,4080000,4210000,4480000,4640000,4770000,4900000,5040000,5180000,5310000,5440000,5580000,5740000,5880000,6000000,6110000,6230000,6340000,6460000,6580000,6700000,6870000,7000000,7140000,7270000,7420000,7570000,7720000,7880000,8050000,8210000
Italy,29800000,30200000,30700000,31200000,31700000,32200000,32700000,33200000,33700000,34200000,34600000,35000000,35400000,35700000,36100000,36400000,36700000,37000000,37200000,37400000,37600000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37900000,37900000,38000000,38000000,38000000,38100000,38100000,38200000,38200000,38300000,38300000,38400000,38700000,39000000,39300000,39500000,39700000,40100000,40300000,40500000,40600000,40900000,41500000,42100000,42200000,42400000,42500000,42600000
Jamaica,550000,570000,591000,613000,636000,659000,681000,704000,727000,751000,775000,797000,820000,844000,869000,893000,916000,938000,961000,985000,1010000,1040000,1070000,1090000,1110000,1130000,1150000,1160000,1170000,1180000,1200000,1210000,1230000,1250000,1260000,1280000,1300000,1320000,1340000,1360000,1380000,1390000,1410000,1420000,1430000,1450000,1460000,1470000,1480000,1500000,1510000,1520000,1540000,1550000,1570000,1590000,1600000,1620000,1630000
Japan,58500000,61000000,62400000,64000000,65500000,67100000,68600000,70000000,71100000,73400000,75000000,76800000,78700000,80200000,82600000,84800000,85600000,86500000,87400000,88200000,89000000,89700000,90500000,91200000,91900000,92600000,93300000,94000000,94500000,95100000,95500000,96000000,96400000,96800000,97300000,97900000,98300000,98700000,99100000,99400000,99800000,102000000,104000000,106000000,108000000,110000000,111000000,113000000,114000000,115000000,116000000,116000000,116000000,116000000,116000000,116000000,116000000,116000000,116000000
Jordan,475000,510000,538000,563000,594000,637000,692000,758000,830000,900000,963000,1020000,1070000,1110000,1150000,1190000,1230000,1270000,1310000,1360000,1430000,1520000,1610000,1720000,1830000,1940000,2060000,2180000,2310000,2450000,2610000,2800000,3010000,3220000,3430000,3590000,3700000,3790000,3870000,3940000,4010000,4080000,4160000,4260000,4370000,4580000,4850000,5150000,5490000,5850000,6250000,6680000,7130000,7590000,8030000,8360000,8640000,8870000,9060000
Kazakhstan,4390000,4630000,4870000,5110000,5340000,5570000,5790000,5990000,6180000,6370000,6550000,6720000,6900000,7080000,7250000,7390000,7510000,7620000,7740000,7860000,8010000,8160000,8320000,8490000,8660000,8770000,8900000,9020000,9130000,9160000,9200000,9240000,9220000,9140000,9000000,8840000,8710000,8580000,8440000,8360000,8350000,8350000,8360000,8400000,8470000,8550000,8650000,8770000,8880000,9130000,9280000,9420000,9570000,9720000,9870000,10000000,10200000,10300000,10500000
Kenya,598000,634000,672000,718000,767000,820000,877000,938000,1000000,1070000,1160000,1260000,1370000,1490000,1610000,1750000,1900000,2070000,2240000,2430000,2560000,2680000,2800000,2930000,3060000,3200000,3340000,3480000,3630000,3780000,3970000,4180000,4390000,4610000,4840000,5070000,5310000,5560000,5810000,6080000,6360000,6650000,6950000,7260000,7590000,7940000,8300000,8680000,9070000,9480000,9910000,10300000,10800000,11300000,11800000,12300000,12800000,13300000,13900000
Kiribati,6710,7140,7600,8080,8590,9110,9650,10200,10800,11500,12300,13200,14100,15000,15700,16300,16900,17600,18200,18700,19100,19600,20000,20400,20900,21500,22200,22900,23800,24600,25300,26000,26600,27100,27700,28300,29500,31100,32700,34500,36300,37300,38000,38700,39400,40200,41500,43300,45100,47000,48800,50500,52200,53900,55500,57300,59000,60800,62600
Kuwait,201000,228000,259000,294000,332000,374000,422000,474000,528000,583000,638000,690000,743000,796000,852000,913000,985000,1060000,1140000,1220000,1300000,1380000,1450000,1530000,1610000,1700000,1790000,1900000,1990000,2050000,2050000,1990000,,,,1580000,1600000,1690000,1810000,1930000,2020000,2100000,2140000,2160000,2200000,2270000,2370000,2500000,2660000,2820000,2990000,3170000,3350000,3530000,3690000,3840000,3960000,4060000,4140000
Kyrgyz Republic,743000,779000,813000,849000,886000,923000,961000,1000000,1040000,1080000,1110000,1140000,1170000,1200000,1230000,1260000,1290000,1320000,1350000,1370000,1400000,1420000,1450000,1480000,1500000,1530000,1560000,1590000,1610000,1640000,1660000,1670000,1680000,1670000,1650000,1660000,1670000,1680000,1690000,1710000,1730000,1750000,1760000,1780000,1800000,1820000,1840000,1860000,1880000,1900000,1920000,1950000,1990000,2030000,2080000,2130000,2190000,2240000,2300000
Lao,169000,174000,180000,186000,192000,198000,205000,217000,230000,244000,259000,275000,292000,309000,324000,338000,351000,363000,375000,388000,403000,420000,440000,461000,484000,509000,536000,564000,594000,625000,657000,691000,726000,762000,798000,842000,903000,966000,1030000,1100000,1170000,1240000,1320000,1400000,1490000,1560000,1620000,1680000,1750000,1810000,1880000,1950000,2010000,2080000,2160000,2230000,2310000,2390000,2470000
Latvia,1120000,1160000,1190000,1220000,1260000,1290000,1320000,1340000,1380000,1400000,1430000,1460000,1490000,1520000,1550000,1580000,1600000,1630000,1650000,1670000,1690000,1700000,1710000,1730000,1750000,1770000,1790000,1810000,1830000,1850000,1840000,1830000,1800000,1760000,1740000,1710000,1690000,1670000,1650000,1630000,1610000,1590000,1570000,1550000,1540000,1520000,1510000,1490000,1480000,1450000,1420000,1400000,1380000,1370000,1350000,1340000,1330000,1320000,1310000
Lebanon,764000,821000,881000,942000,1000000,1070000,1130000,1180000,1240000,1300000,1370000,1440000,1510000,1590000,1660000,1730000,1780000,1810000,1850000,1880000,1910000,1940000,1980000,2030000,2070000,2110000,2140000,2170000,2210000,2260000,2330000,2440000,2580000,2730000,2880000,2990000,3070000,3130000,3170000,3220000,3300000,3440000,3610000,3790000,3950000,4070000,4130000,4140000,4150000,4200000,4330000,4550000,4850000,5190000,5510000,5760000,5920000,6020000,6070000
Lesotho,29400,33800,38800,44600,51200,58700,66500,71400,76700,82400,88600,95100,102000,109000,117000,126000,134000,138000,143000,148000,153000,159000,164000,169000,174000,179000,186000,198000,210000,224000,238000,253000,269000,286000,304000,322000,340000,355000,370000,385000,397000,409000,418000,427000,435000,444000,454000,463000,473000,483000,495000,507000,518000,529000,542000,554000,567000,580000,594000
Liberia,208000,220000,233000,246000,260000,275000,291000,308000,326000,344000,365000,386000,409000,433000,459000,486000,515000,546000,578000,613000,652000,694000,740000,786000,841000,909000,970000,1020000,1070000,1110000,1150000,1180000,1100000,1030000,973000,940000,928000,1010000,1100000,1190000,1260000,1320000,1360000,1400000,1430000,1480000,1540000,1620000,1700000,1780000,1860000,1940000,2010000,2080000,2150000,2230000,2310000,2380000,2460000
Libya,396000,422000,451000,482000,516000,584000,662000,749000,844000,947000,1060000,1180000,1310000,1450000,1550000,1660000,1770000,1890000,2000000,2130000,2260000,2390000,2530000,2680000,2820000,2920000,3020000,3110000,3190000,3280000,3360000,3440000,3530000,3610000,3690000,3760000,3830000,3900000,3960000,4020000,4090000,4160000,4240000,4310000,4390000,4470000,4550000,4630000,4700000,4770000,4840000,4890000,4940000,4980000,5030000,5090000,5160000,5250000,5350000
Lithuania,1100000,1140000,1190000,1230000,1280000,1320000,1370000,1420000,1460000,1510000,1560000,1610000,1670000,1730000,1780000,1840000,1890000,1950000,2010000,2050000,2090000,2130000,2170000,2210000,2260000,2310000,2350000,2410000,2460000,2490000,2500000,2500000,2500000,2480000,2460000,2440000,2420000,2400000,2380000,2360000,2340000,2320000,2300000,2280000,2250000,2210000,2180000,2160000,2140000,2110000,2070000,2020000,2000000,1980000,1970000,1950000,1930000,1910000,1900000
Luxembourg,218000,222000,226000,230000,234000,239000,242000,244000,247000,249000,252000,257000,262000,267000,272000,277000,281000,283000,286000,289000,291000,294000,294000,295000,295000,296000,297000,299000,302000,305000,309000,314000,320000,325000,332000,339000,343000,347000,352000,359000,367000,375000,381000,387000,395000,403000,411000,420000,429000,439000,449000,461000,474000,487000,500000,514000,526000,541000,553000
Madagascar,543000,573000,605000,640000,676000,714000,754000,794000,836000,880000,927000,982000,1040000,1100000,1170000,1230000,1300000,1370000,1450000,1530000,1610000,1700000,1800000,1900000,2000000,2110000,2220000,2340000,2460000,2590000,2730000,2880000,3040000,3200000,3340000,3480000,3620000,3780000,3940000,4100000,4280000,4450000,4640000,4830000,5020000,5280000,5560000,5840000,6130000,6440000,6760000,7080000,7430000,7780000,8150000,8530000,8930000,9340000,9770000
Malawi,161000,168000,176000,185000,194000,203000,213000,228000,246000,265000,285000,306000,330000,355000,382000,412000,444000,480000,509000,537000,566000,594000,623000,654000,692000,739000,797000,866000,944000,1020000,1090000,1140000,1180000,1220000,1260000,1310000,1370000,1440000,1520000,1580000,1630000,1680000,1730000,1790000,1840000,1900000,1960000,2030000,2100000,2180000,2260000,2340000,2430000,2530000,2630000,2730000,2840000,2950000,3070000
Malaysia,2170000,2290000,2420000,2560000,2710000,2850000,3000000,3140000,3300000,3450000,3610000,3790000,3980000,4170000,4370000,4580000,4800000,5040000,5280000,5540000,5800000,6050000,6310000,6570000,6850000,7160000,7490000,7840000,8210000,8590000,8980000,9370000,9850000,10300000,10900000,11400000,12000000,12600000,13200000,13800000,14400000,14900000,15500000,16000000,16500000,17100000,17700000,18300000,18900000,19400000,20000000,20500000,21000000,21500000,22000000,22500000,23000000,23500000,24000000
Maldives,10000,10400,10700,11100,11400,11800,12000,12200,12700,13200,13800,15300,17100,19100,21200,23600,26100,28900,31200,33100,35200,37500,40000,42800,45600,48300,50200,52100,54000,55900,57700,59200,60800,62200,63600,65200,67400,69600,71800,74200,77400,82600,88400,94600,101000,108000,114000,118000,122000,127000,133000,140000,148000,157000,166000,175000,185000,195000,205000
Mali,582000,605000,628000,651000,676000,702000,729000,757000,787000,819000,852000,888000,927000,967000,1010000,1050000,1100000,1150000,1200000,1250000,1310000,1370000,1440000,1510000,1580000,1650000,1710000,1780000,1840000,1900000,1970000,2050000,2140000,2240000,2340000,2450000,2560000,2670000,2790000,2940000,3100000,3280000,3460000,3660000,3870000,4100000,4330000,4590000,4860000,5130000,5420000,5710000,6010000,6320000,6640000,6970000,7330000,7700000,8080000
Malta,294000,293000,292000,290000,289000,286000,283000,279000,276000,273000,271000,272000,271000,271000,271000,273000,274000,276000,278000,281000,284000,286000,293000,297000,297000,302000,308000,310000,313000,317000,320000,329000,333000,337000,340000,343000,346000,350000,354000,357000,360000,364000,368000,371000,375000,378000,380000,382000,385000,388000,390000,392000,396000,402000,410000,420000,430000,442000,459000
Marshall Islands,5220,5560,5960,6410,6890,7370,7870,8390,9150,9980,10900,12000,13100,14300,15000,15500,16000,16400,16800,17300,17800,18800,19900,21100,22400,23700,25200,26800,28300,29700,30800,31700,32400,32900,33300,33700,33900,34000,34100,34300,34800,35500,36500,37500,38500,39300,39900,40400,40800,41100,41500,41900,42300,42700,43100,43500,44000,44500,45000
Mauritania,58500,65100,72400,80500,89500,99500,110000,123000,136000,151000,167000,185000,204000,225000,249000,274000,301000,329000,358000,389000,422000,457000,495000,535000,578000,623000,670000,720000,764000,782000,800000,818000,837000,856000,876000,895000,916000,936000,957000,979000,1000000,1040000,1100000,1150000,1210000,1270000,1340000,1410000,1480000,1550000,1630000,1710000,1790000,1880000,1970000,2070000,2160000,2260000,2360000
Mauritius,232000,244000,256000,268000,280000,292000,304000,316000,328000,340000,352000,364000,376000,379000,383000,388000,392000,396000,399000,404000,409000,413000,416000,418000,425000,432000,438000,445000,451000,458000,465000,469000,473000,478000,483000,486000,489000,494000,498000,503000,506000,509000,511000,514000,516000,517000,518000,519000,520000,520000,520000,519000,519000,519000,518000,518000,517000,516000,516000
Mexico,19200000,20100000,21100000,22100000,23100000,24200000,25400000,26600000,27800000,29100000,30400000,31700000,33100000,34500000,36000000,37400000,38900000,40400000,41900000,43400000,45000000,46400000,47900000,49400000,50900000,52400000,53900000,55400000,56900000,58400000,60000000,61400000,62900000,64300000,65800000,67300000,68600000,69900000,71300000,72600000,73900000,75300000,76600000,78000000,79400000,80900000,82400000,84000000,85600000,87200000,88800000,90400000,91900000,93500000,95100000,96600000,98100000,99700000,101000000
"Micronesia, Fed. Sts.",9930,10400,10800,11300,11800,12300,12900,13500,14200,14800,15200,15600,15800,15900,16100,16300,16700,17200,17900,18600,19300,19900,20600,21200,21800,22400,22900,23400,23900,24300,24900,25400,26000,26600,27100,27000,26500,25900,25200,24500,24000,23900,23900,23900,23800,23700,23500,23300,23100,23000,22900,23100,23300,23700,24100,24500,24800,25200,25600
Moldova,479000,507000,536000,565000,595000,626000,657000,688000,720000,752000,784000,815000,848000,880000,914000,946000,978000,1010000,1040000,1070000,1100000,1130000,1170000,1200000,1230000,1270000,1300000,1330000,1370000,1390000,1390000,1390000,1390000,1380000,1380000,1370000,1360000,1340000,1330000,1320000,1300000,1290000,1270000,1260000,1240000,1240000,1230000,1230000,1220000,1220000,1220000,1220000,1220000,1220000,1210000,1200000,1190000,1170000,1150000
Monaco,22500,22800,23000,23200,23200,23300,23300,23300,23300,23300,23500,23700,24100,24400,24800,25200,25500,25800,26100,26400,26700,27200,27600,28100,28500,28800,29000,29200,29200,29300,29400,29600,29900,30100,30400,30700,31000,31300,31600,31800,32100,32500,32800,33200,33500,33800,34200,34500,34900,35200,35600,36000,36500,36900,37300,37700,38100,38400,38700
Mongolia,341000,370000,402000,428000,447000,466000,486000,507000,528000,551000,576000,603000,631000,660000,689000,720000,751000,783000,815000,848000,880000,913000,947000,982000,1020000,1060000,1100000,1140000,1190000,1220000,1250000,1260000,1280000,1290000,1300000,1310000,1310000,1320000,1330000,1350000,1370000,1410000,1450000,1490000,1530000,1580000,1630000,1670000,1730000,1780000,1840000,1880000,1920000,1960000,2000000,2050000,2090000,2130000,2170000
Montenegro,90300,95800,102000,108000,114000,119000,123000,127000,130000,133000,138000,143000,150000,157000,165000,173000,180000,188000,195000,203000,211000,220000,229000,238000,248000,256000,264000,271000,278000,284000,291000,298000,306000,313000,320000,326000,332000,338000,343000,349000,354000,362000,369000,377000,381000,384000,386000,389000,392000,395000,397000,400000,402000,405000,407000,409000,412000,414000,416000
Morocco,3620000,3790000,3970000,4160000,4340000,4530000,4730000,4920000,5120000,5310000,5520000,5720000,5960000,6200000,6450000,6710000,6990000,7280000,7590000,7900000,8240000,8590000,8950000,9320000,9700000,10100000,10500000,10800000,11200000,11600000,12000000,12400000,12800000,13200000,13600000,14000000,14200000,14500000,14800000,15100000,15400000,15600000,15900000,16200000,16500000,16800000,17200000,17600000,17900000,18300000,18800000,19200000,19700000,20100000,20600000,21100000,21600000,22000000,22500000
Mozambique,493000,518000,544000,572000,601000,632000,664000,698000,734000,772000,811000,858000,914000,972000,1040000,1100000,1180000,1260000,1350000,1440000,1530000,1670000,1830000,2000000,2170000,2340000,2500000,2660000,2830000,3020000,3250000,3400000,3590000,3810000,4030000,4260000,4470000,4680000,4830000,4990000,5150000,5330000,5530000,5730000,5940000,6150000,6360000,6580000,6870000,7170000,7490000,7820000,8170000,8530000,8910000,9300000,9720000,10200000,10600000
Myanmar,4180000,4350000,4520000,4700000,4890000,5090000,5300000,5510000,5740000,5980000,6230000,6480000,6740000,6990000,7150000,7320000,7490000,7670000,7840000,8020000,8200000,8390000,8570000,8770000,9020000,9260000,9500000,9740000,9980000,10200000,10400000,10600000,10900000,11100000,11300000,11500000,11700000,11900000,12200000,12400000,12600000,12800000,13100000,13300000,13500000,13700000,13900000,14100000,14200000,14400000,14600000,14800000,15000000,15300000,15500000,15700000,16000000,16200000,16400000
Namibia,114000,119000,125000,131000,137000,144000,150000,158000,165000,174000,182000,190000,198000,207000,216000,224000,232000,240000,248000,257000,265000,274000,283000,293000,304000,316000,330000,346000,363000,380000,396000,412000,430000,448000,467000,485000,504000,523000,543000,562000,581000,600000,625000,652000,680000,710000,741000,774000,809000,845000,882000,920000,959000,1000000,1040000,1090000,1130000,1180000,1220000
Nauru,4380,4630,4940,5280,5590,5860,6070,6220,6340,6440,6550,6680,6800,6930,7060,7180,7290,7400,7500,7620,7740,7880,8020,8170,8330,8500,8680,8870,9060,9280,9510,9760,10000,10300,10500,10600,10700,10600,10600,10400,10300,10200,10100,9990,9900,9850,9830,9840,9890,9940,10000,10100,10300,10800,11900,12500,13000,12900,12700
Nepal,352000,367000,377000,387000,398000,410000,422000,435000,449000,463000,478000,494000,528000,565000,605000,648000,694000,744000,797000,854000,915000,980000,1040000,1110000,1170000,1250000,1320000,1400000,1480000,1580000,1670000,1780000,1910000,2050000,2200000,2350000,2510000,2670000,2840000,3020000,3210000,3400000,3520000,3650000,3770000,3900000,4030000,4160000,4290000,4420000,4530000,4630000,4710000,4800000,4890000,5010000,5160000,5340000,5540000
